iter	Passed	Remaining
449	311068	380194
450	311727	379464
451	312387	378734
452	313051	378012
453	313704	377274
454	314365	376548
455	315026	375821
456	315693	375102
457	316366	374389
458	317025	373661
459	317680	372929
460	318338	372200
461	318993	371468
462	319643	370731
463	320301	370004
464	320958	369274
465	321611	368541
466	322265	367810
467	322916	367075
468	323567	366342
469	324223	365613
470	324875	364881
471	325550	364175
472	326202	363443
473	326861	362720
474	327514	361989
475	328175	361268
476	328827	360537
477	329481	359810
478	330138	359085
479	330799	358366
480	331460	357646
481	332113	356919
482	332762	356186
483	333412	355456
484	334065	354729
485	334718	354002
486	335374	353279
487	336027	352553
488	336677	351824
489	337336	351105
490	337986	350377
491	338642	349654
492	339294	348929
493	339951	348209
494	340620	347501
495	341277	346781
496	341941	346069
497	342601	345353
498	343253	344629
499	343910	343910
500	344560	343184
501	345220	342469
502	345873	341747
503	346534	341034
504	347202	340327
505	347868	339618
506	348522	338898
507	349174	338176
508	349833	337462
509	350489	336745
510	351143	336025
511	351804	335313
512	352463	334599
513	353118	333882
514	353770	333162
515	354428	332448
516	355089	331737
517	355751	331027
518	356405	330310
519	357057	329591
520	357718	328881
521	358375	328167
522	359041	327461
523	359702	326752
524	360353	326033
525	361013	325323
526	361672	324613
527	362326	323898
528	362980	323182
529	363635	322469
530	364288	321754
531	364944	321041
532	365612	320339
533	366263	319623
534	366923	318914
535	367590	318212
536	368244	317499
537	368901	316789
538	369551	316072
539	370208	315363
540	370895	314678
541	371585	313996
542	372266	313307
543	372918	312593
544	373567	311877
545	374218	311163
546	374875	310454
547	375534	309747
548	376185	309033
549	376851	308332
550	377516	307631
551	378173	306923
552	378828	306213
553	379485	305506
554	380141	304798
555	380803	304094
556	381482	303405
557	382136	302696
558	382794	301989
559	383445	301278
560	384100	300570
561	384757	299864
562	385443	299180
563	386104	298477
564	386765	297775
565	387424	297070
566	388084	296367
567	388737	295659
568	389417	294972
569	390075	294267
570	390732	293562
571	391383	292853
572	392050	292156
573	392700	291446
574	393359	290744
575	394017	290040
576	394668	289332
577	395329	288631
578	395983	287926
579	396640	287222
580	397310	286528
581	397971	285828
582	398626	285123
583	399280	284418
584	399947	283723
585	400606	283021
586	401262	282319
587	401932	281625
588	402583	280919
589	403235	280214
590	403914	279527
591	404579	278831
592	405232	278127
593	405894	277429
594	406559	276734
595	407213	276030
596	407876	275333
597	408545	274641
598	409205	273942
599	409859	273239
600	410513	272537
601	411190	271850
602	411850	271151
603	412513	270455
604	413177	269760
605	413836	269062
606	414494	268363
607	415153	267664
608	415821	266972
609	416485	266277
610	417143	265578
611	417801	264880
612	418467	264187
613	419141	263499
614	419798	262800
615	420449	262098
616	421101	261397
617	421761	260700
618	422413	259999
619	423077	259305
620	423729	258604
621	424383	257905
622	425037	257205
623	425688	256504
624	426351	255811
625	427081	255157
626	427761	254473
627	428420	253777
628	429093	253090
629	429744	252389
630	430410	251697
631	431068	251002
632	431723	250304
633	432376	249605
634	433029	248906
635	433680	248207
636	434335	247510
637	434996	246816
638	435658	246123
639	436318	245428
640	436972	244731
641	437632	244038
642	438290	243342
643	438941	242644
644	439598	241949
645	440255	241254
646	440911	240558
647	441565	239862
648	442223	239168
649	442876	238472
650	443526	237773
651	444177	237076
652	444846	236388
653	445516	235701
654	446178	235009
655	446841	234319
656	447495	233624
657	448172	232940
658	448833	232249
659	449487	231554
660	450152	230864
661	450808	230171
662	451462	229476
663	452125	228786
664	452780	228092
665	453440	227400
666	454093	226706
667	454748	226012
668	455410	225322
669	456072	224632
670	456735	223943
671	457389	223249
672	458047	222557
673	458703	221865
674	459360	221173
675	460032	220488
676	460687	219796
677	461345	219105
678	462003	218414
679	462655	217720
680	463306	217026
681	463973	216339
682	464628	215647
683	465294	214960
684	465957	214272
685	466614	213581
686	467287	212898
687	467943	212206
688	468601	211516
689	469253	210824
690	469909	210133
691	470559	209439
692	471219	208750
693	471874	208059
694	472537	207372
695	473201	206685
696	473857	205995
697	474513	205305
698	475199	204628
699	475858	203939
700	476588	203280
701	477250	202593
702	477907	201904
703	478569	201216
704	479221	200525
705	479879	199836
706	480544	199150
707	481207	198464
708	481864	197775
709	482526	197088
710	483187	196401
711	483845	195712
712	484504	195025
713	485157	194334
714	485810	193644
715	486464	192955
716	487123	192267
717	487780	191579
718	488438	190891
719	489097	190204
720	489754	189516
721	490414	188830
722	491072	188142
723	491730	187455
724	492402	186773
725	493058	186085
726	493714	185397
727	494372	184710
728	495029	184023
729	495679	183333
730	496335	182646
731	496993	181959
732	497650	181272
733	498307	180585
734	498963	179898
735	499627	179214
736	500310	178536
737	500973	177852
738	501623	177163
739	502284	176478
740	502940	175791
741	503590	175103
742	504251	174418
743	504916	173734
744	505603	173058
745	506266	172374
746	506926	171690
747	507588	171005
748	508253	170322
749	508906	169635
750	509563	168949
751	510222	168264
752	510878	167578
753	511537	166894
754	512202	166211
755	512854	165524
756	513515	164840
757	514182	164158
758	514831	163470
759	515487	162785
760	516140	162099
761	516804	161416
762	517469	160734
763	518133	160051
764	518793	159367
765	519451	158683
766	520120	158002
767	520779	157318
768	521434	156633
769	522093	155950
770	522767	155270
771	523416	154584
772	524068	153898
773	524722	153213
774	525372	152527
775	526023	151841
776	526682	151158
777	527342	150475
778	528001	149792
779	528655	149108
780	529307	148422
781	529957	147737
782	530610	147052
783	531262	146368
784	531916	145684
785	532575	145001
786	533225	144316
787	533877	143632
788	534531	142948
789	535189	142265
790	535839	141580
791	536501	140899
792	537154	140215
793	537804	139531
794	538456	138847
795	539124	138167
796	539792	137487
797	540445	136804
798	541097	136120
799	541750	135437
800	542405	134754
801	543060	134072
802	543714	133389
803	544373	132708
804	545023	132024
805	545675	131341
806	546331	130659
807	547042	129990
808	547710	129311
809	548369	128629
810	549041	127951
811	549692	127268
812	550342	126585
813	551003	125904
814	551663	125224
815	552319	124542
816	552971	123860
817	553626	123178
818	554281	122496
819	554931	121814
820	555592	121134
821	556247	120452
822	556919	119774
823	557575	119093
824	558229	118412
825	558883	117730
826	559535	117049
827	560198	116369
828	560852	115688
829	561514	115008
830	562175	114329
831	562831	113648
832	563487	112968
833	564135	112286
834	564793	111605
835	565469	110929
836	566133	110250
837	566799	109572
838	567458	108892
839	568115	108212
840	568771	107532
841	569421	106851
842	570073	106170
843	570739	105492
844	571390	104811
845	572047	104131
846	572706	103452
847	573357	102771
848	574013	102091
849	574667	101411
850	575325	100732
851	575978	100052
852	576737	99390
853	577525	98733
854	578221	98061
855	578876	97381
856	579554	96705
857	580207	96024
858	580860	95344
859	581528	94667
860	582184	93988
861	582845	93309
862	583537	92635
863	584188	91955
864	584855	91278
865	585555	90605
866	586216	89927
867	586880	89249
868	587551	88572
869	588205	87892
870	588875	87215
871	589533	86537
872	590188	85857
873	590840	85178
874	591498	84499
875	592157	83821
876	592818	83143
877	593473	82464
878	594132	81786
879	594789	81107
880	595441	80428
881	596101	79750
882	596773	79074
883	597431	78395
884	598085	77717
885	598750	77040
886	599405	76361
887	600060	75683
888	600712	75004
889	601375	74327
890	602038	73650
891	602708	72973
892	603365	72295
893	604019	71617
894	604672	70939
895	605330	70261
896	605993	69584
897	606646	68906
898	607298	68228
899	607958	67550
900	608615	66873
901	609269	66195
902	609937	65519
903	610612	64843
904	611270	64166
905	611947	63491
906	612601	62813
907	613256	62136
908	613907	61458
909	614564	60781
910	615221	60103
911	615877	59426
912	616532	58749
913	617194	58073
914	617864	57397
915	618527	56720
916	619184	56043
917	619841	55367
918	620498	54690
919	621153	54013
920	621811	53336
921	622462	52659
922	623125	51983
923	623783	51306
924	624434	50629
925	625087	49952
926	625755	49277
927	626411	48600
928	627070	47924
929	627735	47248
930	628389	46572
931	629051	45896
932	629710	45220
933	630359	44543
934	631018	43867
935	631675	43191
936	632329	42515
937	632983	41839
938	633633	41162
939	634285	40486
940	634940	39810
941	635592	39134
942	636243	38458
943	636899	37782
944	637549	37106
945	638202	36430
946	638857	35754
947	639509	35078
948	640159	34402
949	640814	33727
950	641463	33051
951	642118	32375
952	642771	31700
953	643423	31024
954	644074	30349
955	644725	29673
956	645374	28998
957	646026	28322
958	646680	27647
959	647334	26972
960	647986	26297
961	648637	25621
962	649294	24946
963	649947	24271
964	650604	23597
965	651258	22922
966	651910	22247
967	652564	21572
968	653215	20897
969	653867	20222
970	654518	19547
971	655168	18873
972	655820	18198
973	656472	17523
974	657127	16849
975	657780	16174
976	658433	15500
977	659088	14826
978	659750	14151
979	660408	13477
980	661063	12803
981	661715	12129
982	662370	11455
983	663021	10780
984	663674	10106
985	664328	9432
986	664979	8758
987	665633	8084
988	666288	7410
989	666999	6737
990	667672	6063
991	668327	5389
992	668997	4715
993	669653	4042
994	670303	3368
995	670960	2694
996	671614	2020
997	672269	1347
998	672920	673
999	673577	0
