iter	Logloss
0	0.6640981067
1	0.6367176996
2	0.6150848038
3	0.5872569227
4	0.5583212403
5	0.5374743093
6	0.5178104289
7	0.5017599397
8	0.4788922937
9	0.4601269008
10	0.4426894138
11	0.4267213532
12	0.4082172812
13	0.3947071529
14	0.3780731812
15	0.3654876198
16	0.3555568147
17	0.3407557611
18	0.3282023401
19	0.3167662563
20	0.3055238608
21	0.2964844434
22	0.287057854
23	0.2768483181
24	0.2694434193
25	0.2610887123
26	0.2520545164
27	0.2449734774
28	0.2370589886
29	0.2307298472
30	0.2243302286
31	0.2175912126
32	0.2118534556
33	0.2078344873
34	0.2034684262
35	0.1980844905
36	0.1943893214
37	0.1888618935
38	0.1834863903
39	0.178661885
40	0.1746330935
41	0.1712352075
42	0.1673768746
43	0.1646241321
44	0.1613068825
45	0.1578980045
46	0.1546869716
47	0.1523122351
48	0.1499243586
49	0.1463257879
50	0.1438337786
51	0.1418273268
52	0.1398918615
53	0.1373711911
54	0.135437669
55	0.1322930228
56	0.1292828589
57	0.1277117771
58	0.1251524638
59	0.123288769
60	0.1216419359
61	0.1198953285
62	0.1184506231
63	0.116215177
64	0.1146822204
65	0.1130626454
66	0.1119529854
67	0.1105589365
68	0.1089977005
69	0.1075364571
70	0.1066424696
71	0.1045215637
72	0.1033684119
73	0.1019910159
74	0.1010906169
75	0.0997840799
76	0.09900114675
77	0.09771095241
78	0.09670172978
79	0.0955415217
80	0.09473629816
81	0.09374974874
82	0.09284082614
83	0.09176576549
84	0.09080154242
85	0.08982378452
86	0.08917178642
87	0.08798326932
88	0.08716595211
89	0.08579926969
90	0.08484190789
91	0.08400697728
92	0.08347390094
93	0.08268454465
94	0.082292905
95	0.0815498669
96	0.08076343727
97	0.08021084523
98	0.07944261296
99	0.07877448008
100	0.07866019507
101	0.07794113997
102	0.0770583211
103	0.07641851323
104	0.075897313
105	0.07558452596
106	0.07479344571
107	0.07409004855
108	0.07397460255
109	0.07320866265
110	0.07263949535
111	0.07188689364
112	0.0710485174
113	0.0708501248
114	0.07049097549
115	0.06995605607
116	0.06959867235
117	0.06911673086
118	0.06887804856
119	0.06830763047
120	0.06792291372
121	0.06736217197
122	0.06689627518
123	0.06684012999
124	0.06670039127
125	0.06628497254
126	0.06617680307
127	0.06580483694
128	0.06533264197
129	0.06505784588
130	0.06449919367
131	0.06443029923
132	0.06437921328
133	0.06429481551
134	0.06389695717
135	0.06368747411
136	0.06331462382
137	0.0631450187
138	0.06306996118
139	0.06294185159
140	0.06254412434
141	0.06251810893
142	0.06218012155
143	0.06211869616
144	0.06207518758
145	0.06186983022
146	0.06121890558
147	0.06105527636
148	0.06100019787
149	0.06032829112
150	0.06001276414
151	0.05997231696
152	0.05922827808
153	0.05919265582
154	0.05879350866
155	0.05869383165
156	0.05859827099
157	0.05810913933
158	0.05791552604
159	0.05773305186
160	0.0576994745
161	0.05723786527
162	0.0568704464
163	0.05684140538
164	0.05639188592
165	0.05591365593
166	0.0558489975
167	0.05572848151
168	0.05540533897
169	0.05496981418
170	0.05445377482
171	0.05439074103
172	0.05394927899
173	0.05342082921
174	0.05264531295
175	0.05260357694
176	0.0525494231
177	0.05252334049
178	0.05210226038
179	0.05202653939
180	0.05170120785
181	0.05167410327
182	0.05165325563
183	0.05141992686
184	0.05103765652
185	0.05079480175
186	0.05040151444
187	0.05036936093
188	0.05027107337
189	0.05023094698
190	0.04991661635
191	0.04989602172
192	0.04987180574
193	0.04984781036
194	0.04979036867
195	0.04976401989
196	0.04955960396
197	0.049442702
198	0.04942474294
199	0.04938445781
200	0.04920148069
201	0.04897902084
202	0.04864446214
203	0.04847500311
204	0.04824225191
205	0.04794628121
206	0.04789910536
207	0.04748192207
208	0.04722227198
209	0.04720169126
210	0.04709481675
211	0.04704894524
212	0.04665582742
213	0.04657457861
214	0.04643758058
215	0.04641667451
216	0.04616094196
217	0.04573877401
218	0.04554563044
219	0.04528637018
220	0.04527114357
221	0.04525475821
222	0.0452377811
223	0.04521958259
224	0.04512449339
225	0.04510446076
226	0.04486773262
227	0.04473003383
228	0.04471717608
229	0.04466979718
230	0.04458023873
231	0.04454335853
232	0.04426354602
233	0.04409387414
234	0.04399919236
235	0.04365773002
236	0.04364046442
237	0.04343380524
238	0.04342029461
239	0.04302355303
240	0.0428441545
241	0.04282678564
242	0.04280350153
243	0.04278663513
244	0.0427641162
245	0.04267474873
246	0.04265789922
247	0.04264389285
248	0.04262815082
249	0.04240672973
250	0.04229206482
251	0.04227244053
252	0.04207591138
253	0.04203885312
254	0.04202302236
255	0.04185618825
256	0.04165782836
257	0.04161793883
258	0.04158650025
259	0.04133339441
260	0.04130677047
261	0.04111210285
262	0.04092941812
263	0.04074779397
264	0.04073431125
265	0.04072086968
266	0.04044225261
267	0.04042466842
268	0.04021499965
269	0.04019021099
270	0.04017133839
271	0.04014519483
272	0.03978702763
273	0.03960941632
274	0.03957999451
275	0.03926160696
276	0.03924577027
277	0.03904817784
278	0.03881565381
279	0.03838552351
280	0.03836316604
281	0.03807798511
282	0.03791669938
283	0.03789339724
284	0.03767756985
285	0.03766493409
286	0.03737102307
287	0.03735528988
288	0.03718596554
289	0.03698792949
290	0.03697373576
291	0.0368242446
292	0.0368067933
293	0.03678765415
294	0.03677276605
295	0.03654415617
296	0.03638158104
297	0.0363665759
298	0.03635274218
299	0.03633992356
300	0.03609799263
301	0.03608008457
302	0.03577389552
303	0.03554939215
304	0.03553839441
305	0.03552881077
306	0.03535763617
307	0.03534801662
308	0.03531549984
309	0.03522027235
310	0.03513810418
311	0.03489965399
312	0.03488840566
313	0.03486731092
314	0.03467181997
315	0.0346392713
316	0.03439826121
317	0.03416936056
318	0.03415296754
319	0.03396620223
320	0.03395156579
321	0.03375758498
322	0.03347456126
323	0.03338713829
324	0.03337454749
325	0.03335657557
326	0.03312654611
327	0.03311143628
328	0.03310087006
329	0.03309133228
330	0.0330219293
331	0.03274143828
332	0.03253143514
333	0.0325175255
334	0.03250625233
335	0.03238724602
336	0.03223832534
337	0.03218856308
338	0.0320378659
339	0.03183100427
340	0.03176624652
341	0.03175403807
342	0.03173966248
343	0.03173110182
344	0.03168037815
345	0.03154697407
346	0.03143822184
347	0.03142284718
348	0.03123452137
349	0.03122487813
350	0.03121526249
351	0.03106656776
352	0.03088859611
353	0.03067808899
354	0.03048911993
355	0.0304529604
356	0.03043422226
357	0.03040936895
358	0.03026206567
359	0.03011301982
360	0.03010069078
361	0.03007654752
362	0.0300634067
363	0.03004521986
364	0.03003548788
365	0.03000931306
366	0.0299057692
367	0.02989519286
368	0.02975185974
369	0.02964341576
370	0.02960082373
371	0.02959370581
372	0.02958480193
373	0.02956600107
374	0.02945947973
375	0.029444544
376	0.02922649243
377	0.02920124904
378	0.02911454802
379	0.02907106557
380	0.02892565119
381	0.02891747516
382	0.02876383248
383	0.02873266763
384	0.02872165682
385	0.02871038986
386	0.02869113372
387	0.02855576763
388	0.02854737245
389	0.02852146427
390	0.02843212399
391	0.02840919991
392	0.02840050644
393	0.02839209452
394	0.02838260661
395	0.02814110739
396	0.02813223197
397	0.02811450335
398	0.02809934236
399	0.02806762148
400	0.02805904411
401	0.02773402809
402	0.02772405225
403	0.02768321768
404	0.02748076486
405	0.02747262438
406	0.02746152912
407	0.02732111954
408	0.02726024271
409	0.02720265537
410	0.02705287651
411	0.02703950658
412	0.02683656621
413	0.02679746559
414	0.02669841007
415	0.02663090386
416	0.02656408666
417	0.02636094208
418	0.02635357457
419	0.02634290432
420	0.02632962024
421	0.02611109661
422	0.0261031382
423	0.02609610586
424	0.02608204453
425	0.02605398542
426	0.02588144417
427	0.0258739632
428	0.02571731977
429	0.0256975329
430	0.02553245413
431	0.02550331244
432	0.0254606774
433	0.02538330435
434	0.02527810981
435	0.02527178329
436	0.02504636415
437	0.02494750268
438	0.02490562305
439	0.02489394195
